hole_card_1,hole_card_2,board_card_1,board_card_2,board_card_3,board_card_4,board_card_5,street,num_opponents,win_pct,tie_pct,loss_pct
4h,7c,8h,2c,7h,Jd,6s,5,2,31.8,2.6,65.6
Kc,2s,,,,,,0,6,8.4,3.0,88.6
3d,4h,4s,2h,8d,,,3,1,54.8,3.6,41.6
Ts,2c,2h,9h,4c,3h,Jh,5,3,1.6,0.0,98.4
4s,6d,,,,,,0,4,12.6,2.2,85.2
8c,As,6d,9s,3c,,,3,5,7.2,2.4,90.4
Kh,Qc,5d,6c,3d,5s,,4,8,2.8,0.4,96.8
Qd,8s,,,,,,0,6,12.6,3.2,84.2
Kh,6d,,,,,,0,4,16.2,4.6,79.2
Jc,2s,9c,9d,Kd,,,3,7,0.4,2.4,97.2
6d,9d,4s,7s,Kc,7d,6h,5,8,0.6,2.8,96.6
Qs,8d,9s,Qc,7c,6s,,4,6,25.4,11.0,63.6
4s,Js,,,,,,0,4,20.6,5.0,74.4
3d,2c,Ks,Td,4h,,,3,2,6.4,1.8,91.8
9h,8d,8h,Jh,Tc,Qs,9s,5,5,0.0,38.0,62.0
As,3s,Ah,4s,5s,,,3,5,55.2,7.6,37.2
Js,8d,,,,,,0,6,14.6,3.2,82.2
4d,2h,8d,Js,7h,,,3,5,1.8,1.2,97.0
Jh,6h,7d,Jc,Qd,,,3,7,12.2,2.4,85.4
7s,2d,8h,6s,9s,8s,Ac,5,5,0.0,0.0,100.0
Ac,Th,4h,2s,5s,7h,,4,7,2.4,1.2,96.4
6c,2h,2s,3s,Qh,Qd,,4,1,57.0,3.2,39.8
Qd,5c,,,,,,0,5,10.2,3.4,86.4
Jh,Ts,Qd,2c,7h,9h,5s,5,2,3.0,0.8,96.2
3s,Js,6c,2d,5s,,,3,7,8.4,5.6,86.0
9c,7s,2c,2d,Js,,,3,7,1.2,1.4,97.4
Qd,7h,,,,,,0,8,6.8,3.2,90.0
2c,7d,8s,3s,6c,3d,,4,7,0.6,0.2,99.2
9c,5c,2h,8s,7h,As,,4,1,22.4,4.0,73.6
8h,Ks,5s,9h,Kh,8d,,4,1,90.4,0.6,9.0
5h,5s,8d,4c,4h,Tc,,4,5,8.4,0.0,91.6
Qs,4c,Jh,3h,4h,,,3,1,50.0,3.0,47.0
Kd,Jc,,,,,,0,2,43.6,3.6,52.8
4h,Ah,3c,8c,Jd,,,3,6,5.0,1.2,93.8
7h,2s,5h,Jc,3d,5c,,4,5,0.4,0.2,99.4
Qh,Ks,,,,,,0,5,26.0,1.4,72.6
Ks,Ah,,,,,,0,4,36.0,1.4,62.6
Ks,7c,8c,9h,4d,2s,,4,5,2.0,0.2,97.8
8h,7d,Ks,Jd,Kc,,,3,5,2.4,3.0,94.6
6d,Kc,,,,,,0,3,22.6,4.0,73.4
Qd,5c,4c,2d,Tc,9c,3h,5,1,10.8,0.8,88.4
6d,6s,Tc,Kc,3c,Qs,Qc,5,2,12.0,0.0,88.0
As,Kd,,,,,,0,4,31.2,2.4,66.4
6h,Ah,,,,,,0,1,60.0,3.0,37.0
8d,2s,,,,,,0,8,4.0,2.2,93.8
Td,Ts,5c,Qh,As,Ac,,4,1,72.4,0.6,27.0
Kd,Td,Kc,2c,Qd,7s,4h,5,3,68.6,1.4,30.0
Td,8c,8h,Ah,5h,,,3,2,36.4,4.4,59.2
4d,9h,5s,8h,Jc,9c,7c,5,2,16.0,2.6,81.4
