hole_high,hole_low,suited,pocket_pair,street,num_opponents,hand_class,normalized_strength,win_pct,tie_pct,loss_pct
7,4,0,0,5,2,8,0.3279,31.8,2.6,65.6
13,2,0,0,0,6,0,0.0,8.4,3.0,88.6
4,3,0,0,3,1,8,0.2314,54.8,3.6,41.6
10,2,0,0,5,3,8,0.1823,1.6,0.0,98.4
6,4,0,0,0,4,0,0.0,12.6,2.2,85.2
14,8,0,0,3,5,9,0.1132,7.2,2.4,90.4
13,12,0,0,4,8,8,0.2809,2.8,0.4,96.8
12,8,0,0,0,6,0,0.0,12.6,3.2,84.2
13,6,0,0,0,4,0,0.0,16.2,4.6,79.2
11,2,0,0,3,7,8,0.3973,0.4,2.4,97.2
9,6,1,0,5,8,7,0.5763,0.6,2.8,96.6
12,8,0,0,4,6,8,0.4733,25.4,11.0,63.6
11,4,1,0,0,4,0,0.0,20.6,5.0,74.4
3,2,0,0,3,2,9,0.0704,6.4,1.8,91.8
9,8,0,0,5,5,5,0.7853,0.0,38.0,62.0
14,3,1,0,3,5,8,0.5253,55.2,7.6,37.2
11,8,0,0,0,6,0,0.0,14.6,3.2,82.2
4,2,0,0,3,5,9,0.0197,1.8,1.2,97.0
11,6,1,0,3,7,8,0.4496,12.2,2.4,85.4
7,2,0,0,5,5,8,0.3728,0.0,0.0,100.0
14,10,0,0,4,7,9,0.1163,2.4,1.2,96.4
6,2,0,0,4,1,7,0.6211,57.0,3.2,39.8
12,5,0,0,0,5,0,0.0,10.2,3.4,86.4
11,10,0,0,5,2,9,0.0608,3.0,0.8,96.2
11,3,1,0,3,7,9,0.0165,8.4,5.6,86.0
9,7,0,0,3,7,8,0.1812,1.2,1.4,97.4
12,7,0,0,0,8,0,0.0,6.8,3.2,90.0
7,2,0,0,4,7,8,0.2032,0.6,0.2,99.2
9,5,1,0,4,1,9,0.114,22.4,4.0,73.6
13,8,0,0,4,1,7,0.6451,90.4,0.6,9.0
5,5,0,1,4,5,7,0.5626,8.4,0.0,91.6
12,4,0,0,3,1,8,0.2452,50.0,3.0,47.0
13,11,0,0,0,2,0,0.0,43.6,3.6,52.8
14,4,1,0,3,6,9,0.1248,5.0,1.2,93.8
7,2,0,0,4,5,8,0.268,0.4,0.2,99.4
13,12,0,0,0,5,0,0.0,26.0,1.4,72.6
14,13,0,0,0,4,0,0.0,36.0,1.4,62.6
13,7,0,0,4,5,9,0.07,2.0,0.2,97.8
8,7,0,0,3,5,8,0.5094,2.4,3.0,94.6
13,6,0,0,0,3,0,0.0,22.6,4.0,73.4
12,5,0,0,5,1,9,0.0477,10.8,0.8,88.4
6,6,0,1,5,2,7,0.6278,12.0,0.0,88.0
14,13,0,0,0,4,0,0.0,31.2,2.4,66.4
14,6,1,0,0,1,0,0.0,60.0,3.0,37.0
8,2,0,0,0,8,0,0.0,4.0,2.2,93.8
10,10,0,1,4,1,7,0.6647,72.4,0.6,27.0
13,10,1,0,5,3,8,0.5159,68.6,1.4,30.0
10,8,0,0,3,2,8,0.3734,36.4,4.4,59.2
9,4,0,0,5,2,8,0.3877,16.0,2.6,81.4
8,6,1,0,5,6,7,0.6421,8.2,0.2,91.6
14,4,0,0,5,2,9,0.1317,7.6,1.0,91.4
6,3,1,0,5,6,8,0.5536,0.0,0.0,100.0
